Month,Day,Year,MaxT,MinT,Precip,DewP,SkyCvr,WindV,WindDir,SolarRad,StrmType,PotET,ActET,Units
01,01,0001,22.61,14.11,31.24,14.97,95.2,3.32,,51.92,,,,1
01,02,0001,24.02,14.38,0.51,17.36,97.5,6.76,,44.05,,,,1
01,03,0001,16.44,1.86,0.00,2.58,47.1,4.51,,128.42,,,,1
01,04,0001,14.93,5.79,0.00,2.77,26.5,5.05,,143.93,,,,1
01,05,0001,13.02,3.81,0.00,1.17,70.2,4.31,,104.12,,,,1
01,06,0001,5.72,0.76,0.00,-5.08,61.3,3.82,,117.67,,,,1
01,07,0001,9.69,-2.96,0.00,-4.42,78.9,3.68,,93.02,,,,1
01,08,0001,2.97,-1.24,0.00,-5.94,93.5,4.56,,62.63,,,,1
01,09,0001,4.39,-3.84,0.00,-6.08,77.5,4.31,,96.61,,,,1
01,10,0001,4.92,2.34,0.51,0.86,100.0,4.40,,30.94,,,,1
01,11,0001,5.29,-3.08,7.87,-2.91,99.5,5.55,,40.68,,,,1
01,12,0001,2.42,-8.53,0.00,-7.96,94.4,7.20,,61.60,,,,1
01,13,0001,-5.44,-12.07,0.00,-16.27,55.7,1.58,,130.86,,,,1
01,14,0001,3.68,-7.42,0.00,-6.55,81.9,1.96,,91.55,,,,1
01,15,0001,5.78,-0.61,18.80,1.01,95.5,4.61,,58.07,,,,1
01,16,0001,8.61,-0.12,0.00,-3.44,70.2,4.02,,111.89,,,,1
01,17,0001,9.16,3.95,2.29,5.98,99.3,3.03,,41.97,,,,1
01,18,0001,5.80,-1.22,0.00,0.19,85.7,2.66,,85.02,,,,1
01,19,0001,8.50,-7.72,0.00,-3.68,78.2,4.89,,101.07,,,,1
01,20,0001,3.89,-6.56,0.00,-10.69,42.4,4.54,,150.32,,,,1
01,21,0001,9.46,-3.42,0.00,-6.41,48.0,1.18,,144.87,,,,1
01,22,0001,8.78,7.79,0.00,5.17,92.8,4.75,,68.68,,,,1
01,23,0001,13.66,3.19,0.00,4.90,87.1,3.97,,83.88,,,,1
01,24,0001,16.26,5.56,0.00,4.63,76.8,2.91,,105.17,,,,1
01,25,0001,17.53,2.31,0.00,2.12,54.0,4.24,,139.84,,,,1
01,26,0001,10.95,-6.17,0.00,-6.32,7.6,2.05,,178.46,,,,1
01,27,0001,8.21,-1.63,0.00,0.07,82.6,2.05,,97.90,,,,1
01,28,0001,11.64,1.03,0.00,0.38,56.3,3.16,,141.27,,,,1
01,29,0001,11.30,10.29,5.59,10.50,100.0,5.19,,18.31,,,,1
01,30,0001,10.29,2.89,0.00,4.62,86.6,2.97,,90.19,,,,1
01,31,0001,5.34,-1.03,0.00,-0.47,88.8,4.97,,86.58,,,,1
02,01,0001,-1.03,-7.39,0.00,-6.04,78.6,4.73,,112.19,,,,1
02,02,0001,-5.19,-8.49,0.00,-15.13,57.6,4.41,,149.94,,,,1
02,03,0001,4.84,-10.46,0.00,-15.19,63.8,3.08,,142.21,,,,1
02,04,0001,9.13,-3.31,0.00,-7.56,22.0,2.35,,186.47,,,,1
02,05,0001,27.00,7.91,7.11,12.93,87.1,3.95,,90.52,,,,1
02,06,0001,16.81,6.57,5.59,9.97,98.2,4.35,,55.62,,,,1
02,07,0001,18.18,2.72,0.00,4.22,53.5,2.05,,156.35,,,,1
02,08,0001,23.98,3.87,0.00,4.34,7.4,3.98,,194.93,,,,1
02,09,0001,14.56,0.36,0.00,1.86,61.0,5.48,,149.81,,,,1
02,10,0001,7.53,-4.68,15.24,-8.21,63.8,5.70,,150.14,,,,1
02,11,0001,1.74,-6.41,3.81,-11.86,85.1,5.44,,108.11,,,,1
02,12,0001,7.56,-4.40,7.37,-7.92,79.2,4.49,,123.08,,,,1
02,13,0001,8.34,-5.84,0.00,-10.56,75.4,4.48,,133.00,,,,1
02,14,0001,2.88,-7.21,0.00,-12.93,65.5,2.80,,153.89,,,,1
02,15,0001,4.55,-1.75,0.00,-5.51,92.0,2.94,,90.12,,,,1
02,16,0001,9.67,-0.36,0.00,0.47,83.3,1.69,,115.66,,,,1
02,17,0001,15.33,8.74,24.13,10.59,91.5,3.98,,89.05,,,,1
02,18,0001,8.78,5.10,4.32,5.37,92.9,4.56,,86.90,,,,1
02,19,0001,5.10,-0.34,0.00,-0.91,97.6,3.02,,68.45,,,,1
02,20,0001,-0.34,-5.01,0.00,-7.44,83.6,2.12,,121.17,,,,1
02,21,0001,3.67,-6.52,0.00,-10.94,66.1,2.89,,162.91,,,,1
02,22,0001,8.28,-6.43,1.27,-7.22,69.1,3.11,,157.52,,,,1
02,23,0001,15.86,-0.76,0.00,-0.35,55.2,3.29,,181.57,,,,1
02,24,0001,8.82,0.87,0.00,-3.04,79.2,2.72,,136.45,,,,1
02,25,0001,10.24,-0.10,0.00,0.69,78.0,3.05,,139.39,,,,1
02,26,0001,6.24,1.37,0.00,-1.11,82.2,3.89,,130.38,,,,1
02,27,0001,4.43,-1.75,19.30,0.81,94.5,3.66,,89.46,,,,1
02,28,0001,11.16,0.13,0.00,-0.84,65.9,4.61,,170.98,,,,1
03,01,0001,2.70,-4.20,0.00,-6.66,69.8,3.67,,166.37,,,,1
03,02,0001,16.28,-0.42,0.00,-1.73,27.7,3.01,,229.86,,,,1
03,03,0001,21.19,7.14,0.00,6.80,42.2,3.77,,210.12,,,,1
03,04,0001,14.98,7.22,6.10,5.03,66.0,5.10,,174.26,,,,1
03,05,0001,17.84,6.43,14.73,4.83,82.4,5.53,,136.26,,,,1
03,06,0001,17.43,6.93,0.76,4.12,76.8,3.96,,153.04,,,,1
03,07,0001,15.90,1.90,0.00,-3.24,61.9,3.29,,191.34,,,,1
03,08,0001,17.03,3.27,0.00,0.73,67.8,3.26,,178.83,,,,1
03,09,0001,14.64,9.87,0.00,8.30,84.5,3.41,,132.80,,,,1
03,10,0001,16.57,8.28,0.00,8.80,80.6,3.01,,145.35,,,,1
03,11,0001,14.19,8.13,0.00,12.90,85.2,5.15,,130.12,,,,1
03,12,0001,8.13,-3.08,0.00,0.13,74.9,5.14,,168.10,,,,1
03,13,0001,9.53,3.60,41.91,4.66,85.5,4.46,,135.76,,,,1
03,14,0001,14.44,4.98,0.00,0.11,66.6,3.76,,191.23,,,,1
03,15,0001,16.25,3.44,0.00,2.68,64.3,4.24,,196.60,,,,1
03,16,0001,10.26,8.77,12.95,8.86,100.0,4.42,,54.32,,,,1
03,17,0001,8.77,2.31,0.00,-2.64,80.9,4.09,,158.46,,,,1
03,18,0001,8.56,4.94,30.23,-1.89,86.9,4.72,,138.80,,,,1
03,19,0001,12.51,0.32,23.11,-0.41,77.0,3.68,,172.18,,,,1
03,20,0001,10.03,4.30,13.72,3.44,95.4,4.23,,101.31,,,,1
03,21,0001,18.33,6.49,10.16,5.69,67.2,3.35,,197.40,,,,1
03,22,0001,16.39,5.47,0.00,2.99,51.4,3.17,,233.82,,,,1
03,23,0001,14.74,0.72,0.00,2.18,45.5,1.96,,246.50,,,,1
03,24,0001,21.33,3.63,0.00,2.19,46.9,2.13,,245.99,,,,1
03,25,0001,18.69,12.48,0.00,8.63,57.3,2.57,,223.23,,,,1
03,26,0001,28.29,13.95,0.00,19.38,55.0,1.40,,216.31,,,,1
03,27,0001,18.76,11.58,0.00,14.73,75.8,3.41,,175.98,,,,1
03,28,0001,16.75,11.24,5.08,15.69,100.0,4.35,,43.63,,,,1
03,29,0001,14.77,3.58,1.27,9.46,95.0,4.70,,107.89,,,,1
03,30,0001,13.84,1.82,7.37,5.67,69.4,2.49,,204.85,,,,1
03,31,0001,14.26,4.01,13.21,5.75,81.5,3.29,,169.57,,,,1
04,01,0001,18.22,1.76,0.00,2.24,66.3,1.67,,218.13,,,,1
04,02,0001,21.74,11.39,0.25,12.53,93.5,4.91,,117.48,,,,1
04,03,0001,12.21,11.82,16.51,10.54,98.6,4.76,,85.95,,,,1
04,04,0001,17.72,12.21,30.99,11.06,93.6,4.06,,119.37,,,,1
04,05,0001,18.28,11.02,0.00,8.38,70.0,4.06,,209.40,,,,1
04,06,0001,21.28,11.43,4.06,9.11,71.7,2.32,,205.17,,,,1
04,07,0001,27.36,15.26,4.83,18.71,80.5,3.65,,169.59,,,,1
04,08,0001,20.42,10.48,0.00,11.14,70.0,4.25,,210.74,,,,1
04,09,0001,16.46,4.86,0.00,2.38,59.1,2.56,,247.14,,,,1
04,10,0001,21.49,6.73,10.92,8.18,61.2,3.02,,238.97,,,,1
04,11,0001,18.46,9.15,0.76,11.86,93.2,2.28,,126.23,,,,1
04,12,0001,17.57,9.11,0.51,9.36,81.0,3.07,,181.80,,,,1
04,13,0001,16.84,8.05,35.56,7.76,90.3,2.64,,144.84,,,,1
04,14,0001,19.73,11.69,11.18,15.83,100.0,4.64,,66.87,,,,1
04,15,0001,19.53,13.94,1.78,15.32,97.2,4.82,,101.75,,,,1
04,16,0001,17.64,9.87,0.00,8.01,76.1,4.28,,203.76,,,,1
04,17,0001,15.73,8.16,0.00,2.73,68.3,3.15,,232.89,,,,1
04,18,0001,15.70,3.43,0.00,0.39,58.5,2.24,,261.93,,,,1
04,19,0001,21.52,14.27,18.03,15.04,90.0,3.98,,146.09,,,,1
04,20,0001,17.09,4.18,0.00,1.77,59.5,2.39,,261.02,,,,1
04,21,0001,17.99,6.88,0.00,5.29,74.2,2.51,,217.35,,,,1
04,22,0001,17.09,8.49,3.05,8.09,76.3,3.14,,209.14,,,,1
04,23,0001,17.38,4.67,0.00,5.49,62.8,2.67,,253.17,,,,1
04,24,0001,14.93,3.53,0.00,2.01,67.1,3.12,,244.71,,,,1
04,25,0001,13.53,1.68,0.00,-0.29,41.0,2.78,,308.88,,,,1
04,26,0001,22.12,7.99,0.00,6.62,65.8,3.26,,247.18,,,,1
04,27,0001,22.73,6.62,0.00,-1.00,16.1,2.36,,346.55,,,,1
04,28,0001,24.36,11.08,0.00,5.32,40.2,3.90,,309.39,,,,1
04,29,0001,25.79,13.49,1.78,12.87,85.0,3.88,,177.41,,,,1
04,30,0001,20.83,13.26,0.00,10.07,78.8,4.03,,205.32,,,,1
05,01,0001,18.29,11.66,0.00,11.70,80.2,3.65,,199.12,,,,1
05,02,0001,16.27,15.41,10.92,15.84,98.3,5.29,,99.45,,,,1
05,03,0001,19.28,11.66,3.56,13.56,85.5,3.22,,177.09,,,,1
05,04,0001,24.32,10.44,0.00,10.17,44.6,3.71,,302.30,,,,1
05,05,0001,28.31,16.34,4.83,16.44,63.3,5.34,,250.86,,,,1
05,06,0001,23.62,16.55,26.16,15.67,77.1,4.83,,209.93,,,,1
05,07,0001,25.53,10.77,0.00,10.45,25.1,2.51,,336.54,,,,1
05,08,0001,22.99,12.83,0.00,8.39,29.9,3.22,,333.78,,,,1
05,09,0001,27.13,16.19,0.00,13.62,60.6,3.69,,265.49,,,,1
05,10,0001,19.69,13.21,0.00,8.23,71.0,3.61,,241.59,,,,1
05,11,0001,27.12,16.13,21.08,12.52,53.6,3.25,,285.93,,,,1
05,12,0001,25.21,13.61,8.13,12.26,74.4,1.78,,227.28,,,,1
05,13,0001,27.29,11.46,0.00,11.81,48.0,1.96,,301.13,,,,1
05,14,0001,32.01,19.68,0.00,18.44,46.8,4.51,,293.29,,,,1
05,15,0001,30.22,18.58,0.00,14.33,46.2,3.83,,302.67,,,,1
05,16,0001,26.88,13.96,0.00,9.26,47.7,3.79,,307.30,,,,1
05,17,0001,26.89,13.17,0.00,8.87,40.9,4.15,,322.37,,,,1
05,18,0001,24.37,12.69,0.51,12.69,50.3,3.82,,298.45,,,,1
05,19,0001,24.82,13.97,1.52,13.55,69.3,2.69,,246.70,,,,1
05,20,0001,27.57,14.57,4.32,11.82,35.8,1.60,,329.72,,,,1
05,21,0001,32.18,16.04,28.45,13.98,0.0,3.03,,374.42,,,,1
05,22,0001,30.69,17.11,0.00,11.44,35.3,1.21,,332.35,,,,1
05,23,0001,33.86,16.96,0.00,14.63,20.5,1.69,,348.50,,,,1
05,24,0001,36.61,24.08,0.00,20.91,41.0,2.97,,305.69,,,,1
05,25,0001,38.34,28.72,0.00,24.96,49.8,2.87,,279.02,,,,1
05,26,0001,37.31,30.02,0.00,25.82,62.8,4.16,,246.97,,,,1
05,27,0001,35.71,24.96,0.00,18.43,0.0,3.71,,363.88,,,,1
05,28,0001,36.57,21.72,0.00,19.77,35.7,2.80,,319.46,,,,1
05,29,0001,32.58,24.41,3.30,24.25,95.0,4.47,,125.12,,,,1
05,30,0001,32.94,22.34,0.00,16.82,0.0,2.54,,367.10,,,,1
05,31,0001,34.39,19.97,0.00,15.42,15.2,2.30,,356.75,,,,1
06,01,0001,36.08,22.43,0.00,20.37,44.4,3.24,,304.08,,,,1
06,02,0001,32.45,17.81,0.00,12.26,0.0,2.59,,373.27,,,,1
06,03,0001,33.43,18.86,0.00,14.39,31.7,0.49,,339.39,,,,1
06,04,0001,30.17,22.18,6.86,20.19,75.6,2.68,,221.84,,,,1
06,05,0001,32.76,23.37,0.00,16.49,53.7,3.61,,292.63,,,,1
06,06,0001,34.31,22.08,0.00,18.88,61.0,3.01,,269.79,,,,1
06,07,0001,30.62,22.63,2.03,21.21,89.0,4.66,,164.43,,,,1
06,08,0001,33.02,22.06,0.00,17.07,43.2,2.84,,315.38,,,,1
06,09,0001,33.86,21.69,0.00,20.16,43.4,3.38,,308.63,,,,1
06,10,0001,32.36,20.40,0.00,18.84,45.0,3.93,,308.51,,,,1
06,11,0001,29.92,20.24,0.00,15.02,45.5,3.52,,314.93,,,,1
06,12,0001,28.56,16.99,0.00,15.99,58.1,3.83,,283.74,,,,1
06,13,0001,29.51,19.81,3.56,21.22,88.2,2.38,,169.38,,,,1
06,14,0001,29.52,20.18,0.00,22.01,75.7,2.52,,219.85,,,,1
06,15,0001,29.92,18.46,0.00,20.71,65.0,1.91,,256.57,,,,1
06,16,0001,29.63,19.94,0.00,22.31,74.4,5.07,,223.90,,,,1
06,17,0001,28.58,15.70,0.00,18.33,43.2,3.57,,314.05,,,,1
06,18,0001,27.79,16.89,0.00,18.22,53.3,4.54,,292.33,,,,1
06,19,0001,30.26,15.67,0.00,18.34,46.5,5.46,,307.36,,,,1
06,20,0001,27.01,19.89,4.57,19.71,73.4,4.08,,231.81,,,,1
06,21,0001,32.93,22.53,0.00,19.52,21.3,2.69,,345.45,,,,1
06,22,0001,40.91,26.93,0.00,24.46,0.0,4.03,,369.14,,,,1
06,23,0001,39.17,28.03,0.00,18.29,0.0,4.34,,390.28,,,,1
06,24,0001,35.32,23.22,6.60,21.92,84.3,4.17,,186.51,,,,1
06,25,0001,33.64,24.47,0.00,20.62,59.2,4.14,,272.45,,,,1
06,26,0001,33.53,24.32,0.00,20.22,62.7,4.09,,263.61,,,,1
06,27,0001,31.00,18.85,0.00,16.96,60.2,3.65,,276.38,,,,1
06,28,0001,28.03,21.97,21.08,20.64,93.9,4.05,,138.11,,,,1
06,29,0001,28.05,22.34,1.02,21.11,81.7,5.84,,198.24,,,,1
06,30,0001,30.42,21.46,1.27,22.42,82.4,3.18,,192.89,,,,1
07,01,0001,35.64,23.99,0.00,23.09,0.0,2.63,,351.17,,,,1
07,02,0001,34.64,25.29,0.00,23.98,53.7,3.61,,277.28,,,,1
07,03,0001,32.76,24.51,0.00,23.99,64.1,3.33,,250.72,,,,1
07,04,0001,32.21,23.64,0.00,20.73,64.4,4.64,,256.60,,,,1
07,05,0001,36.15,24.13,0.00,22.16,46.9,4.62,,295.58,,,,1
07,06,0001,35.87,24.63,0.00,22.56,48.1,3.61,,291.90,,,,1
07,07,0001,36.97,24.33,0.00,19.70,0.0,3.47,,374.82,,,,1
07,08,0001,36.02,25.13,0.00,20.07,0.0,3.92,,354.55,,,,1
07,09,0001,37.03,24.32,0.00,18.83,0.0,4.57,,357.99,,,,1
07,10,0001,36.84,23.51,0.00,20.32,42.2,3.35,,307.25,,,,1
07,11,0001,37.28,27.19,0.00,22.28,37.0,5.80,,311.44,,,,1
07,12,0001,33.10,24.72,12.19,23.19,94.3,7.64,,130.67,,,,1
07,13,0001,32.29,21.97,0.00,22.79,85.1,3.93,,178.40,,,,1
07,14,0001,29.57,21.32,0.00,22.92,80.4,6.06,,196.91,,,,1
07,15,0001,30.49,17.23,0.00,20.35,54.5,4.42,,279.04,,,,1
07,16,0001,26.74,20.77,5.84,22.93,90.2,3.99,,153.35,,,,1
07,17,0001,28.24,14.90,0.00,19.53,66.2,2.29,,249.05,,,,1
07,18,0001,29.77,19.52,0.00,18.65,38.2,3.72,,314.06,,,,1
07,19,0001,32.93,21.09,0.00,21.94,52.6,3.18,,277.79,,,,1
07,20,0001,35.16,24.37,0.00,25.18,60.7,4.28,,250.72,,,,1
07,21,0001,34.69,22.89,0.00,20.76,31.1,2.96,,318.65,,,,1
07,22,0001,36.03,25.24,0.00,20.68,29.6,3.34,,320.34,,,,1
07,23,0001,34.85,26.03,0.00,23.87,40.6,4.12,,294.43,,,,1
07,24,0001,34.16,22.77,0.00,20.74,34.0,5.02,,312.31,,,,1
07,25,0001,35.20,19.97,0.00,17.78,15.9,1.82,,340.51,,,,1
07,26,0001,32.31,24.08,20.07,21.90,58.1,6.04,,261.04,,,,1
07,27,0001,31.21,22.45,20.57,21.35,70.7,5.84,,227.12,,,,1
07,28,0001,35.47,21.97,0.00,19.23,28.3,5.14,,320.84,,,,1
07,29,0001,31.67,24.22,6.60,23.07,78.3,6.15,,198.09,,,,1
07,30,0001,31.31,23.39,0.00,18.89,69.4,5.70,,233.30,,,,1
07,31,0001,27.93,15.93,0.00,12.51,64.3,2.27,,256.44,,,,1
08,01,0001,28.74,13.85,0.00,13.84,66.6,1.06,,247.50,,,,1
08,02,0001,29.65,19.32,1.27,18.76,83.6,4.95,,182.06,,,,1
08,03,0001,28.82,20.19,0.76,19.74,94.3,5.52,,128.00,,,,1
08,04,0001,26.76,20.19,3.05,20.59,95.1,6.48,,121.30,,,,1
08,05,0001,27.57,17.48,0.00,16.28,65.6,4.34,,243.94,,,,1
08,06,0001,30.01,19.84,0.00,18.19,43.2,1.81,,291.02,,,,1
08,07,0001,31.97,22.54,0.00,19.77,37.5,1.79,,296.64,,,,1
08,08,0001,30.30,19.30,0.00,20.83,62.9,1.64,,241.32,,,,1
08,09,0001,33.48,18.93,0.00,20.28,5.1,1.40,,326.71,,,,1
08,10,0001,32.12,21.94,0.00,21.71,62.7,1.93,,238.42,,,,1
08,11,0001,34.72,23.99,0.00,23.87,34.5,1.97,,287.42,,,,1
08,12,0001,33.46,21.47,0.00,18.38,22.1,2.76,,314.63,,,,1
08,13,0001,32.24,21.73,5.08,20.89,80.0,2.58,,185.86,,,,1
08,14,0001,32.99,21.58,0.00,20.16,64.5,2.68,,232.79,,,,1
08,15,0001,37.39,24.37,0.00,21.22,57.9,3.19,,246.04,,,,1
08,16,0001,34.90,23.63,0.00,19.78,57.0,3.37,,249.54,,,,1
08,17,0001,35.83,22.91,0.00,19.93,24.8,3.62,,301.89,,,,1
08,18,0001,32.46,20.93,0.76,19.84,26.5,4.92,,298.88,,,,1
08,19,0001,30.78,22.11,50.04,21.46,88.1,2.69,,149.06,,,,1
08,20,0001,34.48,23.77,0.00,20.70,68.9,4.17,,214.33,,,,1
08,21,0001,34.84,21.28,0.00,22.84,50.7,3.55,,251.10,,,,1
08,22,0001,29.37,19.14,0.00,20.36,69.2,4.70,,212.04,,,,1
08,23,0001,28.76,20.12,84.84,19.69,56.2,4.79,,243.75,,,,1
08,24,0001,28.37,20.08,4.06,18.51,80.4,4.03,,178.46,,,,1
08,25,0001,27.42,19.03,0.00,13.98,66.6,4.42,,224.72,,,,1
08,26,0001,31.35,18.69,1.78,19.12,48.5,2.59,,256.23,,,,1
08,27,0001,31.68,15.76,0.00,13.86,36.1,4.08,,284.16,,,,1
08,28,0001,29.63,19.91,0.76,19.61,85.2,3.76,,156.22,,,,1
08,29,0001,28.59,21.57,0.00,24.18,75.5,3.80,,181.17,,,,1
08,30,0001,28.04,19.41,0.00,21.76,58.4,5.96,,226.63,,,,1
08,31,0001,25.12,19.89,12.95,22.20,80.5,6.88,,166.99,,,,1
09,01,0001,28.16,17.83,0.00,20.06,33.8,3.18,,268.88,,,,1
09,02,0001,32.68,20.72,0.00,19.56,0.0,1.88,,308.91,,,,1
09,03,0001,31.81,23.09,0.00,20.48,52.3,3.18,,235.67,,,,1
09,04,0001,33.79,24.51,1.02,24.67,67.6,3.22,,194.29,,,,1
09,05,0001,36.92,24.89,0.00,23.48,14.4,2.54,,274.09,,,,1
09,06,0001,33.71,25.38,0.00,22.48,49.4,4.59,,232.90,,,,1
09,07,0001,32.33,23.81,0.00,21.72,53.4,5.49,,225.76,,,,1
09,08,0001,32.03,23.55,0.00,22.66,75.8,3.23,,171.92,,,,1
09,09,0001,36.07,24.99,0.00,22.78,37.8,6.28,,245.26,,,,1
09,10,0001,32.44,26.61,0.00,23.23,74.2,7.60,,173.22,,,,1
09,11,0001,34.97,24.90,0.00,22.43,55.9,4.52,,213.90,,,,1
09,12,0001,32.47,23.52,0.00,19.23,56.2,5.43,,217.35,,,,1
09,13,0001,27.11,20.17,0.00,17.34,88.1,4.51,,132.94,,,,1
09,14,0001,24.06,17.29,0.00,12.21,68.7,6.23,,195.85,,,,1
09,15,0001,22.38,17.86,6.60,15.97,89.2,6.26,,128.16,,,,1
09,16,0001,25.48,13.42,0.00,13.31,57.1,4.75,,217.27,,,,1
09,17,0001,24.17,12.94,0.00,11.67,56.8,2.92,,218.15,,,,1
09,18,0001,24.31,13.70,0.00,13.87,66.1,5.82,,194.63,,,,1
09,19,0001,24.54,12.81,0.00,10.21,22.1,8.37,,265.16,,,,1
09,20,0001,24.59,12.93,0.00,12.21,65.6,2.96,,194.47,,,,1
09,21,0001,24.02,14.68,0.00,12.58,55.1,4.44,,213.84,,,,1
09,22,0001,24.12,15.77,0.00,15.19,70.5,4.77,,177.42,,,,1
09,23,0001,23.56,14.19,0.00,14.57,77.5,6.58,,158.75,,,,1
09,24,0001,27.83,17.88,0.00,16.38,61.4,4.26,,192.87,,,,1
09,25,0001,28.93,19.61,0.00,16.44,66.5,5.26,,180.79,,,,1
09,26,0001,28.05,15.74,0.00,9.10,54.5,4.77,,209.97,,,,1
09,27,0001,26.78,14.28,0.00,9.51,23.4,2.45,,248.65,,,,1
09,28,0001,30.50,18.89,0.00,16.82,28.7,3.14,,232.51,,,,1
09,29,0001,29.80,18.72,0.00,19.41,63.9,4.51,,176.60,,,,1
09,30,0001,28.89,21.84,0.00,19.73,71.0,5.70,,160.25,,,,1
10,01,0001,29.16,14.32,0.00,13.83,32.4,3.91,,226.99,,,,1
10,02,0001,24.06,15.44,0.00,11.73,74.3,6.24,,157.75,,,,1
10,03,0001,22.73,17.31,4.06,14.89,92.6,4.78,,99.14,,,,1
10,04,0001,28.58,15.36,0.00,12.27,54.0,5.66,,194.38,,,,1
10,05,0001,29.14,14.93,0.00,14.38,40.5,5.16,,209.48,,,,1
10,06,0001,20.74,12.45,0.00,8.28,69.7,7.93,,165.07,,,,1
10,07,0001,22.54,9.47,0.00,8.13,63.8,4.30,,175.63,,,,1
10,08,0001,25.96,13.61,0.00,7.69,54.9,3.77,,190.12,,,,1
10,09,0001,24.66,16.21,33.53,16.34,96.5,6.19,,76.36,,,,1
10,10,0001,29.27,15.71,0.00,17.46,63.3,2.54,,163.78,,,,1
10,11,0001,27.65,15.34,0.00,16.73,52.8,4.80,,179.83,,,,1
10,12,0001,22.78,15.67,0.00,15.13,74.0,2.91,,142.31,,,,1
10,13,0001,22.00,14.62,0.00,15.86,79.7,6.46,,127.51,,,,1
10,14,0001,23.57,16.21,0.00,19.51,71.6,3.98,,140.44,,,,1
10,15,0001,25.41,17.74,19.56,19.51,97.2,6.54,,67.13,,,,1
10,16,0001,25.31,20.88,0.00,19.05,64.5,3.39,,151.21,,,,1
10,17,0001,25.94,20.84,0.00,20.96,81.5,2.84,,114.52,,,,1
10,18,0001,20.84,16.53,0.00,20.12,98.8,5.92,,56.66,,,,1
10,19,0001,20.76,13.62,0.00,13.31,62.3,2.65,,156.23,,,,1
10,20,0001,28.99,20.76,0.00,26.56,82.2,3.78,,103.95,,,,1
10,21,0001,23.08,15.99,1.27,17.63,88.2,7.23,,96.08,,,,1
10,22,0001,22.61,13.02,0.00,12.27,69.3,6.71,,140.81,,,,1
10,23,0001,18.88,9.86,0.00,7.34,50.6,8.66,,171.70,,,,1
10,24,0001,19.94,8.36,0.00,5.18,45.1,5.31,,178.29,,,,1
10,25,0001,15.78,6.54,0.00,1.74,49.5,5.76,,173.09,,,,1
10,26,0001,14.77,-0.66,0.00,-2.53,37.8,1.46,,186.84,,,,1
10,27,0001,20.71,2.93,0.00,3.79,58.6,3.12,,156.51,,,,1
10,28,0001,19.19,2.33,0.00,-0.76,52.3,3.67,,165.92,,,,1
10,29,0001,12.33,-3.14,0.00,-4.92,66.6,0.36,,144.39,,,,1
10,30,0001,21.97,12.18,1.02,12.69,99.2,2.07,,50.52,,,,1
10,31,0001,27.81,18.43,0.00,18.52,88.3,5.48,,86.63,,,,1
11,01,0001,30.50,18.44,0.00,16.93,65.9,5.51,,130.07,,,,1
11,02,0001,24.04,18.82,0.00,16.97,72.1,3.82,,118.92,,,,1
11,03,0001,25.19,15.52,0.00,15.87,64.6,4.12,,130.38,,,,1
11,04,0001,15.52,9.64,0.00,7.51,82.2,4.51,,103.20,,,,1
11,05,0001,9.64,2.60,0.00,-0.57,66.0,1.70,,135.15,,,,1
11,06,0001,11.18,5.92,1.27,4.72,92.6,3.34,,76.14,,,,1
11,07,0001,10.26,5.36,0.00,3.98,67.5,5.67,,128.62,,,,1
11,08,0001,20.49,-1.17,0.00,-2.13,19.6,5.54,,179.32,,,,1
11,09,0001,17.04,5.08,34.04,1.16,85.6,6.37,,93.38,,,,1
11,10,0001,21.20,5.74,0.00,3.84,69.7,7.30,,122.08,,,,1
11,11,0001,21.18,7.83,0.00,5.86,40.9,5.27,,155.22,,,,1
11,12,0001,15.96,4.24,0.25,6.02,94.8,7.32,,65.01,,,,1
11,13,0001,14.44,1.14,0.00,-2.69,34.5,4.19,,162.10,,,,1
11,14,0001,15.66,1.57,0.00,-0.60,77.2,4.99,,106.91,,,,1
11,15,0001,20.82,13.19,0.00,9.53,82.0,8.94,,93.54,,,,1
11,16,0001,19.69,15.03,0.00,10.08,80.6,9.13,,95.23,,,,1
11,17,0001,15.03,4.30,0.00,0.58,56.0,3.51,,134.92,,,,1
11,18,0001,12.28,-3.94,0.00,-6.53,48.0,7.04,,144.93,,,,1
11,19,0001,13.57,-2.01,0.00,-4.53,49.9,4.68,,141.27,,,,1
11,20,0001,13.71,7.09,0.00,0.89,70.2,7.86,,113.03,,,,1
11,21,0001,17.58,9.09,0.00,4.36,66.6,4.31,,116.14,,,,1
11,22,0001,14.42,1.36,0.00,0.37,38.4,4.20,,147.30,,,,1
11,23,0001,19.31,3.01,0.00,4.38,18.2,1.77,,157.26,,,,1
11,24,0001,13.24,-0.41,0.00,1.28,60.2,5.87,,123.14,,,,1
11,25,0001,14.34,-3.75,0.00,-3.29,17.3,2.51,,159.04,,,,1
11,26,0001,23.39,0.98,1.27,-0.72,14.8,4.29,,158.15,,,,1
11,27,0001,17.90,1.18,0.00,0.72,49.2,3.79,,133.01,,,,1
11,28,0001,23.49,11.99,0.00,14.69,84.3,5.74,,79.12,,,,1
11,29,0001,20.38,9.48,6.35,15.08,99.0,6.13,,40.26,,,,1
11,30,0001,13.18,-1.22,0.00,-1.53,65.3,5.10,,113.54,,,,1
12,01,0001,9.09,0.57,0.00,-0.65,58.4,3.73,,120.99,,,,1
12,02,0001,10.47,-0.37,0.00,-2.09,57.6,4.04,,121.77,,,,1
12,03,0001,8.33,-3.55,0.00,-2.82,64.4,3.34,,113.35,,,,1
